FIPS_COUNTY,State,state,climate,POP,AGE_GR0,AGE_GR1,AGE_GR2,AGE_GR3,AGE_GR4,MALE,AFFGEOID,HISPANIC,ASIAN_ALL,BLACK_NH,BLACK_ALL,WHITE_NH,WHITE_ALL,POVERTY,EDU,POP_DENSITY,ATKINSON,CORRRATIO,cases_WAVE1,deaths_WAVE1,cases_rate_WAVE1,deaths_rate_WAVE1,cases_WAVE2,deaths_WAVE2,cases_rate_WAVE2,deaths_rate_WAVE2,cases_WAVE3,deaths_WAVE3,cases_rate_WAVE3,deaths_rate_WAVE3
48023,48,Texas,South,3591,1.259259259,0.240044556,0.287106656,0.215260373,0.027568922,0.487886383,0500000US48023,0.103035366,0,0.031189084,0.033138402,0.849345586,0.928710666,0.109267735,0.88533017,1.598298298,2.22E-16,0,1,0,27.84739627,0,15,0,417.710944,0,142,6,3954.33027,167.0843776
48025,48,Texas,South,32691,1.214768591,0.403352605,0.241534367,0.103392371,0.01526414,0.609066716,0500000US48025,0.585849316,0.00449665,0.077544278,0.079838488,0.317885657,0.873451409,0.216900843,0.736927296,14.33935601,0.56330268,0.160623312,31,0,94.8273225,0,1574,22,4814.780827,67.29680952,791,22,2419.626197,67.29680952
48027,48,Texas,South,342236,1.27352178,0.388384039,0.203096694,0.090700569,0.012149511,0.499415608,0500000US48027,0.244363539,0.029476735,0.212359308,0.235296696,0.464018981,0.63465854,0.138581242,0.905707172,125.6914911,0.764181596,0.130531596,629,7,183.7913019,2.045372199,4139,57,1209.399362,16.65517362,6239,80,1823.011022,23.37568228
48029,48,Texas,South,1925865,1.256226683,0.368205456,0.226882985,0.102635439,0.013574679,0.493300413,0500000US48029,0.599992731,0.028229393,0.070831029,0.076175121,0.280100111,0.797230855,0.162579952,0.838363953,599.5581109,0.875343176,0.09530875,4449,89,231.0130772,4.621300039,42004,997,2181.04592,51.76894538,53637,523,2785.086182,27.15662832
48031,48,Texas,South,11279,1.227059136,0.231669474,0.323255608,0.22032095,0.018795993,0.512545438,0500000US48031,0.192658924,0.014628956,0.000177321,0.0051423,0.772408901,0.901764341,0.095100865,0.906534326,6.14007402,0.520898316,0.005559827,11,1,97.52637645,8.866034223,114,4,1010.727901,35.46413689,132,2,1170.316517,17.73206845
48033,48,Texas,South,665,1.260150376,0.261654135,0.209022556,0.231578947,0.028571429,0.520300752,0500000US48033,0.084210526,0,0,0,0.894736842,0.978947368,0.025679758,0.930885529,0.286099512,1,0,0,0,0,0,0,0,0,0,18,0,2706.766917,0
48035,48,Texas,South,18122,1.253448847,0.244619799,0.276073281,0.215318398,0.029025494,0.493047125,0500000US48035,0.180057389,0.005076702,0.015450833,0.016002649,0.78175698,0.950833241,0.14519046,0.850565863,7.118088885,0.587877002,0.017914815,7,0,38.6270831,0,209,5,1153.294338,27.59077365,467,11,2576.978258,60.69970202
48037,48,Texas,South,93858,1.250687208,0.33330137,0.249621769,0.141351829,0.018378828,0.50368642,0500000US48037,0.07562488,0.010782246,0.242547252,0.245700953,0.639444693,0.688699951,0.17173285,0.881633039,40.94769801,0.651915208,0.178306204,372,13,396.3434124,13.85071065,598,56,637.1326898,59.66459971,2637,47,2809.563383,50.07564619
48039,48,Texas,South,353999,1.262548764,0.346323012,0.25055438,0.102601985,0.010336187,0.505820638,0500000US48039,0.301500852,0.06453973,0.133412806,0.136698126,0.481136952,0.730199803,0.092296937,0.877050248,100.3298284,0.716985143,0.074132426,1184,18,334.4642217,5.084760126,8205,120,2317.803158,33.89840084,8961,84,2531.363083,23.72888059
48041,48,Texas,South,219193,1.203756507,0.468053268,0.172094912,0.076580913,0.009676404,0.506740635,0500000US48041,0.253288198,0.062789414,0.10164102,0.104907547,0.560542536,0.757930226,0.250343548,0.866524413,144.5413721,0.727334253,0.075606533,821,25,374.5557568,11.40547371,4316,30,1969.040982,13.68656846,7900,75,3604.129694,34.21642114
